gp	Ti	Al	Fe	Mn	Mg	Ca	Ba	Sr	Zr
1	0.037	0.929	0.124	0.005	0.267	7.666	0.022	0.017	0.014
1	0.034	0.859	0.112	0.005	0.227	6.838	0.018	0.016	0.011
1	0.033	0.845	0.107	0.004	0.22	5.943	0.018	0.016	0.011
1	0.035	0.931	0.117	0.005	0.262	6.424	0.02	0.017	0.013
1	0.034	0.915	0.114	0.004	0.258	6.205	0.02	0.017	0.012
1	0.037	0.832	0.122	0.005	0.209	6.842	0.021	0.015	0.012
1	0.038	0.835	0.123	0.005	0.229	6.916	0.02	0.015	0.01
1	0.039	0.941	0.128	0.005	0.27	7.59	0.023	0.016	0.012
1	0.039	0.917	0.168	0.005	0.264	7.574	0.023	0.016	0.012
1	0.037	0.798	0.122	0.005	0.202	7.472	0.019	0.013	0.01
2	0.032	0.751	0.032	0.002	0.117	6.378	0.011	0.018	0.012
2	0.032	0.659	0.029	0.002	0.09	5.511	0.009	0.016	0.009
2	0.032	0.746	0.031	0.002	0.113	6.864	0.012	0.019	0.012
2	0.033	0.772	0.032	0.002	0.117	7.061	0.012	0.019	0.012
2	0.031	0.722	0.03	0.002	0.109	6.417	0.011	0.018	0.012
2	0.029	0.752	0.028	0.002	0.115	7.684	0.013	0.015	0.009
2	0.029	0.739	0.028	0.002	0.113	7.543	0.013	0.015	0.01
2	0.032	0.695	0.031	0.002	0.115	7.78	0.013	0.017	0.011
2	0.029	0.741	0.028	0.002	0.113	7.548	0.013	0.015	0.011
2	0.028	0.715	0.027	0.002	0.108	7.755	0.012	0.014	0.01
